 ,Area,Mean,Min,Max,Angle,Length
1,2978.264,202.433,82.596,223.127,-13.690,486.800
2,2573.809,114.038,34.667,229.000,0.000,418.397
3,1875.203,87.180,39.000,123.000,-16.260,303.186
4,1948.741,127.585,27.089,200.432,-54.462,312.973
5,1397.210,111.374,29.000,189.718,20.376,226.397
6,2426.734,67.483,30.307,103.657,33.690,393.535
7,3015.033,111.121,45.925,220.066,-18.658,492.805
8,1544.285,190.295,25.928,238.657,-57.848,250.674
9,1323.673,71.835,40.670,109.000,48.504,210.491
10,2169.353,104.827,12.333,176.785,-40.815,352.531
11,1581.054,158.419,33.000,227.238,-132.089,253.301
12,1139.830,192.118,121.000,215.311,-60.018,182.013
13,1213.367,100.152,31.667,227.000,-57.804,193.470
14,1323.673,175.818,46.000,239.107,-104.826,213.267
15,1066.292,151.375,32.920,242.604,18.435,172.576
16,2132.584,76.908,31.655,165.801,-4.014,346.482
17,2867.958,62.908,22.368,221.333,-17.488,464.102
18,2022.278,144.179,36.928,214.818,-114.179,325.696
19,2022.278,149.933,44.652,211.580,-117.512,328.170
20,992.755,103.947,24.667,213.333,37.304,160.087
21,1029.523,128.297,54.333,209.770,45.000,162.932
22,2463.503,147.833,27.710,209.444,70.463,398.917
23,1654.591,142.567,36.515,207.545,3.900,267.423
24,1103.061,168.683,61.355,201.837,40.815,176.266
25,2720.883,106.028,13.776,201.260,-93.136,443.316
26,1360.442,163.386,57.500,226.111,3.180,218.631
27,1397.210,125.313,30.277,200.876,-77.471,223.619
28,1250.136,120.225,29.909,211.697,-47.490,197.420
29,1838.435,133.159,42.661,204.565,-111.371,299.526
30,1360.442,229.590,99.000,253.759,56.310,218.631
31,1838.435,174.427,76.333,252.257,22.891,296.193
32,2022.278,227.114,74.667,254.611,27.512,328.170
33,1360.442,216.744,105.086,251.222,70.560,218.631
34,1066.292,246.514,190.000,254.522,-71.565,172.576
35,1029.523,232.429,95.333,254.333,-90.000,163.720
36,992.755,223.126,84.667,253.103,-29.476,160.202
37,1507.516,229.664,168.333,254.021,10.176,240.264
38,1433.979,242.218,179.910,252.886,131.760,227.612
39,2426.734,172.696,78.272,253.104,34.418,396.931
40,1176.598,228.096,77.000,253.788,-47.603,188.853
41,1728.129,217.463,70.000,253.107,-81.158,276.149
42,2720.883,191.708,71.005,251.333,62.387,444.806
43,1617.823,243.876,221.000,253.775,-44.061,261.585
44,1617.823,227.304,93.000,254.000,80.538,258.189
45,1911.972,197.831,50.730,253.502,145.376,309.487
46,1433.979,155.134,63.667,239.670,61.390,227.935
47,1066.292,81.633,41.474,200.549,52.306,168.589
48,1507.516,214.608,127.333,246.725,112.068,242.094
49,1103.061,105.475,26.333,197.540,-74.055,176.578
50,1397.210,74.877,14.667,156.180,88.452,224.440
51,845.680,144.509,35.512,193.588,-32.276,136.265
52,3125.339,105.064,47.090,197.750,52.722,510.578
53,3493.026,128.485,42.915,236.113,91.219,570.119
54,3088.570,121.852,56.326,220.974,-57.265,504.602
55,16325.301,121.930,34.559,242.043,2.068,2687.979
56,4338.706,194.706,57.000,253.752,-4.885,712.042
57,4375.475,92.057,37.000,191.210,21.801,718.391
58,6250.678,88.780,44.153,231.667,-112.932,1027.116
59,2573.809,129.917,29.155,199.754,47.951,416.459
60,2095.816,153.352,100.000,185.905,-26.565,338.972
61,3529.795,148.809,71.333,210.676,-56.143,576.851
62,1360.442,172.096,35.000,215.592,-101.310,216.433
63,1691.360,153.665,49.653,220.400,-135.909,270.159
64,1323.673,156.948,35.267,226.219,-83.480,213.612
65,845.680,162.807,103.455,197.413,-111.801,130.617
66,1470.748,234.294,152.174,253.368,21.251,234.220
67,1176.598,240.675,133.268,254.409,-50.194,189.437
68,1875.203,140.188,71.093,251.400,-91.146,303.247
69,1581.054,223.508,111.639,254.333,54.782,252.356
70,1985.510,187.797,83.786,254.063,28.009,322.804
71,2169.353,224.622,71.253,254.667,30.114,350.491
72,845.680,201.931,66.829,251.353,68.199,130.617
73,1360.442,220.441,110.668,252.934,74.055,220.723
74,919.217,219.448,87.354,254.097,-24.444,146.536
75,1507.516,233.693,112.333,253.625,-66.615,244.436
76,1433.979,181.476,71.333,252.944,-18.435,230.102
77,1985.510,182.725,53.667,240.356,20.807,324.338
78,1250.136,225.074,109.333,252.755,66.571,198.257
79,1360.442,183.641,82.267,253.000,63.435,216.942
80,1801.666,205.728,74.333,253.429,81.529,288.138
81,1323.673,219.964,169.667,252.810,8.130,214.385
82,1176.598,160.590,91.000,230.452,99.162,190.405
83,1654.591,106.250,24.000,229.090,34.778,265.768
84,1691.360,214.821,56.333,253.570,-102.804,273.607
85,2610.577,134.705,7.404,226.000,29.134,423.463
86,1029.523,165.269,37.667,207.128,66.251,165.618
87,1250.136,184.296,68.667,226.587,-25.017,200.745
88,808.911,162.655,27.333,215.313,-117.759,130.194
89,1176.598,151.849,33.667,202.057,-33.179,188.366
90,1029.523,169.330,15.667,221.792,28.443,165.507
91,992.755,130.652,37.667,194.538,10.886,160.545
92,1213.367,148.274,28.333,193.310,-21.801,195.925
93,808.911,61.970,16.653,122.519,27.759,130.194
94,882.449,150.262,23.667,207.258,-105.255,138.274
95,992.755,104.214,25.923,164.769,30.579,154.951
96,3934.250,155.513,40.720,226.744,8.130,643.155
97,5441.767,100.648,37.214,244.000,19.916,890.025
98,2757.652,125.696,37.599,227.281,31.097,446.127
99,2169.353,155.493,56.667,251.316,-51.340,349.441
100,2059.047,195.739,49.667,248.954,48.715,330.848
101,1801.666,194.692,44.667,249.967,148.627,291.185
102,1470.748,150.135,26.333,247.807,50.194,236.796
103,2095.816,135.377,29.007,229.903,12.308,341.350
104,3382.720,70.327,25.169,152.636,131.009,554.457
105,1948.741,189.257,63.619,246.988,34.902,317.926
106,2169.353,88.405,49.557,171.000,120.114,350.491
107,2132.584,159.807,34.088,244.041,-2.010,345.845
