 ,Area,Mean,Min,Max,Angle,Length
1,1722.360,173.815,82.165,219.458,-30.530,277.051
2,1310.491,130.485,33.902,217.000,-81.634,210.285
3,1273.049,90.900,15.333,217.667,64.983,202.576
4,1198.163,189.029,91.000,225.790,-45.000,190.380
5,1722.360,44.702,21.526,109.111,-109.654,272.898
6,1385.376,166.625,18.333,226.156,-51.843,217.893
7,2471.212,61.035,25.876,191.467,-103.392,396.276
8,1909.573,75.698,23.276,162.667,-118.610,306.685
9,973.508,123.222,23.333,181.205,-63.435,150.508
10,2134.228,141.783,17.667,198.500,-45.725,341.846
11,1347.934,106.459,22.667,153.107,-34.592,215.560
12,1310.491,176.106,47.559,249.980,-95.042,208.856
13,1310.491,171.093,38.957,223.389,-110.556,209.124
14,1385.376,46.378,32.458,127.424,22.989,219.348
15,1759.802,37.344,20.042,213.667,-57.339,283.464
16,1497.704,72.745,23.000,231.333,-66.038,241.062
17,1460.262,149.223,14.394,220.430,27.897,235.404
18,1347.934,89.034,26.600,230.324,86.730,214.516
19,1010.950,92.395,17.333,214.691,69.444,156.843
20,1797.245,140.104,15.000,221.064,-1.219,287.660
21,1347.934,134.480,49.667,188.626,-40.426,217.032
22,1123.278,65.973,13.655,116.299,-97.853,179.132
23,1422.819,191.202,48.333,218.000,-90.000,226.404
24,1385.376,189.046,103.000,223.351,-107.928,218.665
25,1497.704,115.830,12.667,178.877,34.509,237.620
26,1610.032,77.930,28.289,157.000,-44.029,255.319
27,1347.934,161.133,75.766,228.361,-42.709,216.514
28,1460.262,32.489,19.667,54.383,-13.671,233.006
29,1010.950,149.381,38.667,190.819,-32.471,159.565
30,1310.491,114.962,15.774,170.336,58.173,208.856
31,2620.982,59.650,13.043,127.290,-84.207,424.381
32,1722.360,85.904,34.976,159.667,-60.573,273.993
33,1310.491,51.660,30.715,93.000,-71.030,207.055
34,1310.491,120.835,34.333,191.769,-69.444,209.124
35,2471.212,32.516,20.694,58.976,58.276,395.661
36,1535.147,116.136,49.667,165.000,-5.711,245.982
37,2246.556,61.072,16.667,134.201,11.689,362.421
38,1310.491,135.958,29.275,196.059,30.379,205.694
39,1235.606,153.194,26.667,195.581,25.769,197.048
40,1048.393,154.819,50.333,198.222,8.427,167.017
41,1010.950,147.959,35.605,211.000,-40.365,160.617
