 ,Area,Mean,Min,Max,Angle,Length
1,2583.540,164.539,22.888,219.559,17.904,417.980
2,1535.147,191.232,55.333,216.899,-57.095,247.802
3,1385.376,114.264,15.700,186.753,72.072,218.665
4,1984.458,122.283,8.219,185.065,15.642,317.719
5,1535.147,136.403,23.683,200.600,-61.504,243.688
6,1385.376,135.336,28.815,221.000,-51.843,217.893
7,1160.721,136.538,23.667,219.667,84.289,184.487
8,1235.606,124.406,29.992,210.835,-38.660,195.905
9,1497.704,127.438,58.000,190.076,-31.218,236.119
10,1610.032,91.727,43.667,159.027,-54.782,254.658
11,2658.425,105.482,20.386,166.947,70.017,429.729
12,1347.934,147.921,10.000,186.918,-33.232,212.146
13,1123.278,51.845,42.784,61.586,-56.310,176.500
14,1572.589,167.785,36.576,221.928,-37.999,248.481
15,1385.376,104.588,37.004,172.359,-46.123,220.710
16,1535.147,115.202,37.767,209.970,46.005,246.666
17,1647.475,35.466,18.667,46.879,35.538,263.190
18,1535.147,34.477,28.000,63.667,20.225,247.802
19,1460.262,144.485,43.735,202.459,21.801,230.664
20,973.508,79.513,34.333,222.067,53.130,152.976
21,1198.163,95.760,31.688,165.000,-7.352,191.263
22,1610.032,95.477,35.176,217.550,-123.311,256.270
23,1834.688,57.917,24.833,185.861,-66.644,293.267
24,1535.147,172.196,57.333,224.333,29.745,246.666
25,1535.147,147.171,60.333,208.184,28.496,243.688
26,2134.228,47.864,35.136,118.333,-21.038,340.913
27,1310.491,73.626,57.197,118.667,-26.565,205.239
28,1422.819,156.633,36.645,225.906,-22.380,224.994
29,1160.721,132.431,42.333,227.760,53.130,183.571
30,1497.704,147.982,35.456,237.667,-32.471,239.347
31,1198.163,183.786,89.325,225.333,-58.392,186.806
32,1834.688,152.769,8.500,237.639,51.710,296.252
33,1722.360,132.326,17.291,209.454,-39.644,278.130
34,1535.147,210.174,161.667,226.939,-50.013,247.575
35,2246.556,115.240,12.783,226.179,-38.811,361.231
36,1385.376,43.549,9.778,171.444,-99.728,217.290
37,2209.114,79.042,3.893,159.841,-130.815,355.747
38,1909.573,145.689,3.667,211.607,-67.557,304.541
39,1834.688,124.374,12.125,213.688,-109.573,292.244
40,2433.769,128.307,14.375,186.000,-60.255,394.666
41,2321.441,63.023,7.235,169.459,-96.546,375.711
42,2695.867,163.539,14.169,241.041,-102.265,432.075
43,1947.015,151.734,70.940,244.634,-127.776,309.662
44,1797.245,78.806,17.316,248.430,17.281,288.375
45,1347.934,137.153,33.110,201.717,-56.768,212.146
46,1385.376,143.625,28.963,197.597,17.928,218.665
47,973.508,122.692,73.667,178.267,53.130,152.976
48,1909.573,103.172,34.333,185.408,-115.017,303.864
49,1984.458,135.171,34.834,204.639,32.471,319.130
50,2171.671,131.604,13.369,230.623,-50.711,347.871
51,1497.704,151.848,23.333,214.368,-107.969,238.014
52,1460.262,79.534,14.667,169.934,164.876,234.528
53,1647.475,123.974,58.667,162.557,54.462,263.190
54,1572.589,121.852,27.521,174.182,37.147,253.331
55,1347.934,140.623,71.695,171.000,11.634,212.411
56,1759.802,160.078,10.233,201.660,-13.736,283.464
57,1909.573,131.191,17.000,197.250,-129.369,308.693
58,1984.458,50.309,14.374,144.667,-111.595,315.887
59,2134.228,141.412,45.613,197.350,25.201,344.899
60,1010.950,174.095,46.667,225.462,29.476,161.663
61,1048.393,105.394,28.667,153.235,-74.932,164.760
62,1198.163,141.391,41.000,199.657,26.565,191.556
63,786.295,56.194,20.867,175.667,-101.310,124.804
64,1235.606,133.731,14.010,169.542,-100.954,193.210
65,1647.475,98.488,28.000,155.409,-147.426,261.405
66,1647.475,192.997,18.667,235.265,-50.711,260.904
67,2134.228,75.994,10.375,177.919,28.856,342.338
68,1984.458,132.360,25.955,198.000,-43.452,320.301
69,973.508,178.324,71.167,201.025,-56.310,154.437
70,861.180,181.197,17.333,226.303,-87.397,134.758
71,1010.950,159.075,22.000,224.396,-127.304,161.547
72,1347.934,47.712,11.530,159.471,-109.983,214.864
73,1123.278,30.741,5.000,74.979,-36.469,175.009
74,2021.901,121.343,16.060,232.613,-91.903,322.678
75,1123.278,142.884,10.000,225.118,65.225,175.223
76,1085.836,123.274,19.190,226.710,-27.474,172.422
77,1460.262,86.369,17.404,215.053,-26.565,232.604
78,1647.475,50.818,15.333,119.000,0.000,263.119
79,1572.589,81.297,16.062,193.163,-102.680,250.880
80,1198.163,62.701,8.000,180.166,-132.397,190.576
81,1947.015,99.705,7.811,225.310,-115.560,312.011
82,1872.130,132.455,5.000,229.725,-47.490,298.832
83,1160.721,114.194,0.333,219.667,90.000,183.571
84,2134.228,57.083,8.902,157.029,153.435,342.065
85,1347.934,35.783,1.206,98.204,-103.241,213.729
86,936.065,126.578,17.667,205.542,-119.745,148.000
