 ,Area,Mean,Min,Max,Angle,Length
1,2246.556,83.877,16.135,172.307,54.689,359.933
2,973.508,79.138,7.676,179.333,28.610,153.343
3,1310.491,66.981,24.777,149.723,35.538,210.552
4,2808.195,113.056,20.667,156.742,-62.745,454.295
5,2920.523,37.094,26.000,82.667,0.000,471.166
6,3332.392,48.667,21.096,115.013,37.648,540.973
7,1722.360,91.813,21.005,199.667,-69.146,275.016
8,1497.704,118.941,31.846,226.000,-82.694,240.596
9,1872.130,93.686,19.951,221.968,-67.109,298.895
10,1273.049,105.729,64.747,143.182,-88.264,202.021
11,1160.721,107.633,28.263,215.333,48.991,186.505
12,1310.491,159.534,18.000,238.856,36.529,205.603
13,1010.950,96.022,20.750,220.395,24.624,161.547
14,1198.163,170.525,24.103,235.771,73.301,191.654
15,861.180,120.769,20.212,173.667,-7.765,135.865
16,1010.950,179.598,41.333,226.064,169.114,162.010
17,1797.245,70.456,16.326,158.816,-83.928,289.218
18,1834.688,131.085,15.521,201.375,56.976,291.924
19,1647.475,23.234,7.093,80.667,138.814,260.185
20,1160.721,50.546,28.659,78.393,48.991,186.505
21,1160.721,128.649,36.333,220.785,42.274,181.932
22,936.065,56.995,34.667,129.000,-106.928,147.112
23,823.737,46.500,33.568,112.667,75.964,126.147
24,1535.147,136.207,17.582,214.101,33.690,242.687
25,1273.049,118.636,30.303,217.333,15.709,203.406
26,973.508,172.838,24.333,209.867,78.690,156.005
27,1872.130,73.196,27.372,171.050,-50.793,300.082
28,1722.360,89.922,28.556,215.368,-50.356,278.130
29,1684.917,60.227,26.014,162.333,68.682,269.307
30,2171.671,90.422,26.333,191.530,-26.114,347.548
31,1198.163,108.256,35.279,217.333,-104.931,189.986
32,1422.819,151.416,27.732,209.426,102.529,225.659
33,2583.540,50.484,22.776,172.333,20.556,418.249
34,1759.802,71.690,47.682,194.333,111.571,282.935
35,1535.147,127.152,22.200,189.633,-1.432,244.838
36,1759.802,37.816,19.667,92.000,0.000,281.476
37,1422.819,120.632,31.385,208.000,-75.964,227.065
38,2471.212,54.847,20.205,166.231,23.429,400.131
39,1235.606,114.650,47.824,181.313,16.189,197.523
40,4380.785,121.460,34.293,220.770,-22.353,707.933
41,1684.917,129.669,32.506,180.444,-107.199,269.029
42,1909.573,100.753,28.347,206.813,-87.709,306.196
43,1198.163,157.740,45.308,220.529,39.806,191.165
44,1123.278,52.031,25.333,71.512,-40.815,177.874
45,636.524,199.458,94.000,212.203,34.695,96.750
46,524.196,31.954,23.282,48.564,-77.005,81.638
47,973.508,52.040,26.644,108.547,64.440,156.005
48,1085.836,53.168,18.497,103.616,50.711,173.936
49,1235.606,143.610,7.448,202.333,-51.340,195.905
50,1347.934,106.681,13.839,215.333,-76.759,213.729
51,1759.802,55.257,31.715,183.072,-71.175,284.453
52,1834.688,116.308,25.000,213.951,-71.940,296.063
53,1310.491,155.785,9.667,223.933,53.471,205.603
54,1235.606,79.376,13.454,189.333,-73.811,197.523
55,1385.376,139.592,50.000,214.383,46.123,220.710
56,1460.262,143.338,24.281,215.333,51.340,235.086
57,1909.573,132.785,17.722,222.051,58.841,307.478
58,1460.262,168.092,24.828,212.964,63.435,232.604
59,1085.836,91.430,10.000,223.243,39.289,173.936
60,1198.163,138.553,25.720,206.333,-97.352,191.263
61,1347.934,162.895,25.179,206.333,-113.629,213.729
62,1684.917,142.693,16.000,191.485,-82.235,271.729
63,1909.573,67.477,22.267,171.000,-78.465,306.013
64,1684.917,160.106,71.667,191.667,100.539,267.634
65,1535.147,127.590,52.192,183.479,106.144,242.070
66,1123.278,187.328,57.333,210.287,9.782,180.070
67,1347.934,105.959,22.006,181.192,-113.629,213.729
68,1310.491,58.081,17.000,128.110,-130.236,208.407
69,1235.606,101.028,27.352,205.093,-25.769,197.048
70,1909.573,174.865,48.794,233.374,-22.443,304.541
71,1572.589,173.000,29.000,232.333,-90.000,250.880
72,1385.376,154.446,30.833,229.333,-85.236,221.049
73,1497.704,105.687,32.085,220.667,-87.064,238.956
74,711.409,142.318,41.963,223.877,-123.690,110.312
75,1085.836,98.885,62.524,225.238,-49.399,169.244
76,1010.950,118.000,43.866,183.209,-35.538,157.914
77,1722.360,167.149,47.301,235.933,-30.530,277.051
78,1797.245,161.999,46.304,238.412,46.736,285.701
79,1647.475,130.507,35.000,227.010,46.094,265.446
80,1198.163,102.526,36.570,178.290,-5.528,190.576
81,1198.163,88.822,34.699,137.753,3.691,190.084
82,1947.015,58.070,30.881,105.693,-119.055,314.997
83,1759.802,75.958,26.606,181.611,16.460,280.743
84,1347.934,54.924,29.181,133.600,-86.730,214.516
85,1123.278,118.644,28.333,224.000,0.000,177.452
86,1759.802,98.219,36.474,225.399,38.853,282.869
87,1235.606,86.122,8.577,171.474,18.435,193.501
88,2433.769,70.303,15.810,172.667,55.814,392.048
89,1422.819,148.704,12.758,200.292,43.919,229.362
90,1235.606,81.432,14.000,228.752,-106.189,197.523
91,1535.147,136.033,9.333,227.867,-75.619,246.362
92,936.065,27.387,18.333,41.625,-97.125,148.000
93,2620.982,77.648,19.031,193.497,78.366,424.822
