 ,Area,Mean,Min,Max,Angle,Length
1,2424.331,130.756,17.667,183.904,-1.507,426.594
2,2235.422,131.402,30.322,177.050,-75.174,394.698
3,2518.785,160.178,40.402,206.644,-20.726,443.954
4,1070.484,127.203,34.667,186.250,-52.431,184.059
5,2015.028,144.207,27.299,214.000,-67.521,352.208
6,2676.209,180.687,45.878,228.324,-106.699,468.656
7,1542.756,36.577,20.917,84.333,24.444,271.198
8,3116.997,134.021,27.095,199.333,-63.435,552.062
9,2298.391,80.074,41.861,148.975,27.979,406.643
10,3085.512,153.538,32.394,239.015,-36.634,545.407
11,2046.513,150.248,26.333,224.687,-32.196,358.059
12,3211.451,160.416,10.690,230.656,-65.462,567.474
13,1668.695,129.301,40.424,197.333,-72.255,294.571
14,2487.300,119.568,25.737,211.667,72.031,436.516
15,1731.665,149.122,53.000,175.185,-31.329,302.169
16,1826.119,98.201,27.746,173.082,-60.751,321.553
17,2487.300,142.806,20.298,235.666,-64.093,436.660
18,1133.453,98.793,34.204,191.067,47.291,198.542
19,1574.241,151.455,47.357,228.374,-121.759,277.170
20,2140.967,155.056,47.765,232.049,-36.529,377.075
21,1637.210,172.489,36.949,233.818,-108.435,283.903
22,976.029,188.841,70.301,223.840,-103.570,167.396
23,1227.908,145.765,25.395,216.343,-102.200,212.409
24,1259.393,169.192,18.000,213.490,-107.969,218.258
25,1542.756,95.560,31.375,223.115,30.343,266.573
26,724.151,152.162,42.000,209.667,35.838,124.587
27,1101.969,60.625,25.500,211.667,16.858,193.482
28,1196.423,113.716,19.000,217.000,53.746,208.746
29,1164.938,108.093,19.722,190.167,-41.634,202.701
30,1542.756,132.973,18.170,189.184,-79.160,268.515
31,850.090,140.757,33.667,172.736,-22.620,145.889
32,1952.058,72.387,19.526,175.667,-109.026,344.251
33,976.029,176.429,54.333,215.911,82.405,169.824
34,1889.089,139.752,38.068,211.014,51.189,331.247
35,1731.665,66.903,36.704,118.357,-54.834,302.012
36,1416.817,134.752,24.641,203.588,-71.565,248.415
37,1290.877,154.113,58.521,209.667,154.722,223.391
38,1826.119,128.192,47.281,190.158,85.986,320.621
39,1101.969,137.226,40.573,191.736,-72.646,188.119
40,1700.180,198.640,85.000,229.276,-35.789,297.443
41,1164.938,165.667,74.000,220.895,58.496,204.017
42,913.060,127.612,37.901,188.655,55.176,157.212
43,1542.756,93.899,36.667,142.593,31.373,269.451
44,1826.119,105.709,32.697,218.158,-120.619,319.490
45,1101.969,160.619,32.000,227.000,0.000,190.779
46,1070.484,126.449,26.126,222.421,-28.887,185.846
47,2739.179,163.358,41.667,207.141,-109.069,480.891
48,1070.484,47.353,23.667,67.444,8.616,187.281
49,1322.362,72.218,26.390,140.098,2.793,230.330
50,1416.817,102.366,39.000,163.226,11.821,246.507
51,1007.514,132.468,27.333,171.857,142.765,176.193
52,1227.908,108.580,30.604,158.000,128.660,215.573
53,944.544,70.211,23.540,128.782,82.147,164.263
54,1574.241,84.053,32.252,157.973,5.826,276.373
55,2739.179,111.921,47.422,187.696,68.251,480.155
56,2235.422,145.684,43.667,206.933,-93.270,393.420
57,2644.724,75.163,27.377,193.890,-71.131,468.454
58,2676.209,61.525,33.778,166.367,58.570,473.468
59,2046.513,85.465,30.540,218.000,61.821,356.473
60,850.090,134.090,17.333,173.128,-29.476,148.244
61,1637.210,73.295,21.925,202.602,-123.071,287.923
62,1857.604,123.937,24.431,192.594,-72.824,323.018
63,1133.453,126.191,33.224,206.158,-112.109,193.808
64,1542.756,154.920,25.028,220.750,56.976,267.693
65,1164.938,63.344,29.111,133.056,41.634,202.701
66,2959.573,139.107,22.201,242.602,-2.463,522.318
67,2266.907,126.651,34.206,209.636,-98.130,396.767
68,1448.301,124.642,30.290,204.151,-144.904,253.745
