 ,Area,Mean,Min,Max,Angle,Length
185,1623.735,137.066,33,214,-45.000,145.928
186,1836.683,71.435,21,134,-176.424,165.420
187,4258.976,122.275,23,214,-136.548,405.097
188,2395.674,121.100,29,220,14.676,224.000
189,1863.302,121.600,32,203,-46.169,178.799
190,2235.963,81.488,22,178,-40.156,216.015
191,1224.456,193.304,183,206,39.472,113.622
192,1464.023,88.436,37,196,53.130,154.780
193,2395.674,111.467,20,180,-1.332,221.911
194,1836.683,160.768,46,196,-11.310,157.845
195,1810.065,148.059,43,232,84.644,165.822
196,1064.744,95.400,22,165,-60.642,94.713
197,1277.693,76.833,27,151,69.146,115.941
198,1969.777,164.486,32,217,-17.928,184.369
199,3247.469,134.057,34,208,-94.844,305.491
200,1863.302,187.357,57,223,-50.826,179.690
201,1543.879,99.448,35,181,70.907,141.952
202,2741.716,138.437,19,239,48.180,263.075
203,1490.642,70.857,37,157,60.524,136.308
204,1756.828,158.091,26,228,-18.435,146.837
205,1703.590,137.266,35,208,53.130,180.576
206,1623.735,158.967,25,199,-19.654,153.398
207,1810.065,144.926,34,218,-144.866,170.336
208,1703.590,210.875,197,220,-120.651,161.924
209,1943.158,105.425,31,228,-108.435,163.152
210,1277.693,100.229,45,224,-56.976,123.069
211,2369.056,139.854,32,206,-84.560,217.672
212,1889.921,151.268,23,198,51.843,183.718
213,1810.065,134.941,30,184,-75.530,165.179
214,1197.837,145.289,59,171,-30.964,120.335
215,1490.642,148.554,112,182,-52.306,143.444
216,3327.325,102.168,24,174,-27.408,313.829
217,2715.097,147.333,32,205,-31.159,259.253
218,2102.870,49.494,27,105,-55.491,200.352
219,2821.572,82.660,17,184,53.569,269.325
220,1889.921,82.408,25,207,-29.745,166.383
221,1117.981,157.976,90,203,39.094,106.362
222,1703.590,47.375,21,123,-13.134,158.937
223,2209.344,87.506,32,129,-54.782,214.717
224,2768.335,112.183,26,220,-77.347,259.099
225,2182.725,52.402,17,145,2.936,201.478
226,1969.777,122.716,28,233,0.000,185.736
227,2768.335,115.308,25,231,-10.204,262.112
228,2608.623,157.847,32,232,-19.573,246.408
229,3992.790,169.467,19,231,-71.565,342.619
230,1889.921,177.268,72,224,47.291,182.555
231,1943.158,61.356,34,170,73.610,182.847
