 ,Area,Mean,Min,Max,Angle,Length
257,1731.665,119.044,30.148,210.160,-4.236,303.831
258,1479.786,104.510,37.624,205.667,34.380,258.356
259,1290.877,106.683,35.667,232.667,-95.711,225.565
260,1889.089,157.169,33.843,213.883,-101.689,332.338
261,1416.817,93.724,38.667,176.000,-92.603,247.145
262,1857.604,154.340,48.292,233.515,-141.953,327.759
263,881.575,78.981,18.030,180.365,-68.199,151.084
264,787.120,106.076,24.433,176.481,-53.616,132.427
265,976.029,46.292,24.178,205.733,1.909,168.427
266,850.090,110.346,33.333,211.000,0.000,145.889
267,913.060,116.674,36.423,171.420,37.694,156.006
268,976.029,144.870,42.258,205.667,27.408,170.656
269,818.605,54.698,24.000,91.931,11.768,137.559
270,818.605,113.509,38.602,171.947,-71.565,141.952
271,1353.847,92.919,38.931,194.667,-77.619,235.534
272,913.060,93.309,20.552,194.541,52.306,156.006
273,818.605,96.019,24.907,194.333,36.870,140.278
274,1164.938,87.181,28.576,207.000,72.072,200.515
275,598.211,38.141,27.333,51.000,-51.843,99.903
276,976.029,120.708,38.373,194.381,-28.301,165.695
277,1133.453,117.564,54.854,180.395,-16.390,198.859
278,2046.513,130.629,35.000,194.724,27.759,361.428
279,2392.846,57.658,23.698,160.333,77.638,419.336
280,1385.332,75.842,25.636,169.614,16.314,239.708
281,976.029,149.583,68.747,218.667,-36.870,168.334
282,881.575,156.649,36.827,217.543,-10.491,154.076
283,1259.393,75.942,33.000,179.333,-90.000,218.834
284,850.090,125.856,41.667,202.077,10.886,148.563
285,692.666,168.759,45.000,217.333,45.000,119.030
286,850.090,51.760,35.000,72.103,-6.582,146.857
287,850.090,151.424,53.000,232.667,60.524,148.244
288,2203.937,179.470,31.000,230.660,30.677,384.925
289,2109.483,121.226,28.318,216.967,-81.254,369.015
290,1763.150,90.805,36.746,144.108,-58.325,309.885
291,1542.756,144.749,36.411,207.000,12.011,269.626
292,4250.450,133.122,16.617,213.418,-1.710,752.227
293,4785.692,146.697,24.021,211.360,-128.008,847.448
294,1889.089,181.855,45.000,226.688,41.553,329.914
295,1637.210,124.326,41.667,223.114,-38.660,287.430
296,1133.453,149.512,47.414,194.752,-68.499,199.017
297,976.029,60.430,33.333,188.667,9.462,170.656
298,1196.423,128.716,37.628,219.201,12.529,206.928
299,1290.877,134.026,39.000,221.040,-32.905,227.234
300,1070.484,140.141,34.068,196.667,-25.017,185.762
301,913.060,39.701,24.167,49.010,16.504,158.011
302,944.544,64.704,38.000,114.467,-112.166,163.591
303,850.090,102.912,34.083,162.699,29.476,148.244
304,881.575,118.583,32.765,186.446,-28.443,153.154
305,629.696,136.809,26.850,213.414,-34.509,108.948
306,724.151,73.927,33.667,132.592,65.772,123.062
307,913.060,115.016,16.333,173.667,68.962,156.308
308,1007.514,128.873,24.161,195.677,80.838,176.193
309,1038.999,125.419,36.358,186.898,79.046,177.173
310,1290.877,126.079,41.333,180.733,38.884,223.461
311,850.090,165.192,39.667,209.651,-20.556,143.825
312,2203.937,149.142,42.552,200.343,-45.000,388.832
313,1637.210,92.041,30.047,128.895,-65.925,288.851
314,1637.210,140.113,30.721,229.370,-46.591,285.782
315,818.605,121.815,41.933,165.267,-101.310,143.056
316,1007.514,133.972,28.667,205.186,-70.974,172.126
317,1259.393,114.122,33.077,193.846,-7.306,220.625
318,1290.877,134.232,36.083,193.080,-63.435,225.844
319,1637.210,78.731,23.333,193.475,57.875,284.900
320,692.666,135.707,40.278,181.129,-75.964,115.676
321,1133.453,58.091,41.707,98.000,-22.109,193.808
322,1322.362,168.841,52.000,219.622,-15.751,227.372
323,850.090,150.581,43.000,192.962,-136.548,146.857
324,1259.393,116.101,32.000,224.382,-54.293,221.124
325,850.090,136.686,108.538,151.244,-79.114,148.563
326,1479.786,113.759,43.077,180.889,-71.175,260.842
327,787.120,117.708,38.167,164.333,-7.125,135.715
328,787.120,153.460,12.667,194.583,-24.444,135.599
329,692.666,95.822,30.667,155.524,-41.186,119.294
330,818.605,165.599,149.339,190.000,-75.964,138.812
331,1070.484,137.975,51.304,210.399,-40.030,183.202
332,1070.484,120.985,53.143,192.000,-62.650,183.202
333,1164.938,200.716,60.333,228.704,-3.180,202.312
334,1133.453,50.093,16.867,141.585,-136.169,194.456
335,1227.908,101.804,29.732,196.000,-119.932,213.666
336,1700.180,120.683,29.465,215.000,-73.610,298.289
337,818.605,33.944,16.481,141.667,14.036,138.812
338,1164.938,171.804,48.438,220.037,-75.579,202.779
339,1101.969,40.804,20.478,145.667,18.970,189.869
340,1196.423,99.510,33.265,171.133,29.358,206.013
341,692.666,176.668,46.270,218.556,-10.784,119.952
342,787.120,116.076,25.375,170.667,-14.621,133.375
343,1007.514,90.764,13.462,189.667,-82.648,175.387
344,1920.574,124.610,40.000,164.500,-88.091,336.855
345,1196.423,160.094,28.000,211.595,4.635,208.293
346,944.544,113.469,70.222,161.520,-43.603,162.723
347,1479.786,182.749,159.931,195.260,28.811,256.153
348,1448.301,101.020,30.918,203.400,-74.407,250.498
349,1920.574,116.049,21.667,209.333,0.000,336.668
350,913.060,75.333,19.947,211.000,39.289,159.498
351,1070.484,79.667,21.333,212.333,0.000,185.167
352,1353.847,107.873,10.000,185.419,-62.819,233.385
353,2298.391,91.365,32.222,227.755,13.650,404.196
354,1038.999,136.885,13.362,220.753,-64.231,180.692
355,913.060,140.350,39.156,228.349,-62.526,158.111
356,1133.453,147.741,26.490,224.971,-41.496,194.780
357,976.029,125.997,35.920,221.653,61.699,165.695
358,1952.058,87.858,19.869,229.251,-89.061,342.325
359,787.120,86.122,50.833,194.333,-2.386,134.784
360,1448.301,94.142,26.955,160.667,-56.659,255.229
361,1448.301,132.839,39.785,222.249,15.593,250.498
362,944.544,68.604,27.855,155.489,-20.323,161.558
363,1133.453,115.686,29.167,215.333,25.115,198.304
364,1416.817,90.352,29.000,200.513,67.479,249.048
365,913.060,141.443,59.588,200.306,68.962,156.308
366,1196.423,73.914,23.822,191.667,-22.380,206.319
367,976.029,90.284,21.333,161.307,-115.710,168.147
368,1227.908,103.322,49.125,144.667,-24.567,215.938
369,1416.817,84.152,22.098,167.749,-25.408,248.479
370,4565.298,59.034,32.130,120.815,-51.216,806.209
371,3305.906,104.330,27.333,203.673,-57.529,585.282
372,2865.118,91.182,35.564,191.374,-119.427,502.502
373,3054.027,114.341,35.767,212.286,-10.840,537.030
374,2613.240,142.936,47.768,228.740,-45.000,460.250
375,3526.299,143.826,51.556,221.069,-30.256,623.619
376,3274.421,78.863,42.667,137.375,-52.907,576.829
377,2361.361,126.099,29.393,234.667,-100.856,417.077
378,1889.089,148.319,55.667,206.501,19.654,333.662
379,2046.513,102.986,55.401,191.768,-35.433,358.103
380,1353.847,141.333,39.333,215.333,-90.000,235.668
381,1133.453,149.808,37.000,225.142,-22.109,193.808
382,1353.847,127.202,33.714,208.143,-30.256,233.857
383,1479.786,104.190,26.145,220.275,86.269,258.660
384,1857.604,151.351,33.063,222.301,78.111,326.845
385,1416.817,124.779,26.000,216.848,7.765,249.175
386,1353.847,136.885,37.286,209.869,56.689,234.999
387,1700.180,98.805,30.674,228.996,-38.157,299.710
388,1416.817,158.317,36.466,224.212,48.691,246.507
389,1227.908,104.655,42.737,206.614,8.973,215.865
