 ,Area,Mean,Min,Max,Angle,Length
1,4820.351,67.606,40,248,-16.621,407.385
2,3394.614,101.470,21,235,-39.207,285.728
3,3462.506,49.382,14,232,50.631,293.927
4,1867.037,80.927,45,190,53.130,174.790
5,4243.267,124.384,109,177,72.759,353.827
6,10014.110,148.397,91,252,64.134,854.705
7,12729.801,227.699,67,255,59.876,1091.252
8,5736.897,155.521,101,251,-27.181,484.672
9,7196.581,155.953,104,252,-22.410,611.321
10,2070.714,123.262,104,255,-45.000,164.794
11,2749.637,208.432,66,247,11.889,226.254
12,2478.068,68.836,37,249,3.366,198.438
13,1833.091,113.500,35,245,-49.635,152.934
14,3869.859,126.474,50,248,-50.064,326.742
15,5465.328,170.683,75,255,64.722,463.916
16,4412.998,172.554,54,255,-9.019,371.654
17,4480.890,122.682,58,232,18.997,375.877
18,2851.475,181.440,66,255,62.176,237.168
19,3734.075,205.718,100,255,-6.459,310.768
20,3869.859,122.947,63,251,61.144,325.962
21,3869.859,126.167,81,212,38.501,327.572
22,3530.398,172.837,72,247,27.072,294.446
23,8588.372,159.166,88,241,29.859,725.560
24,7026.850,124.213,67,246,-64.440,594.172
25,7502.096,128.697,9,230,22.782,631.935
26,4650.621,75.204,19,205,61.928,396.191
27,5329.543,159.815,35,237,-40.914,462.597
28,2749.637,171.037,58,212,86.987,221.707
29,3903.806,140.791,53,209,135.000,313.108
30,4684.567,134.217,46,219,-68.962,405.757
31,3598.290,163.283,64,208,53.569,304.143
32,4990.082,166.163,62,240,-75.964,384.361
33,2919.368,97.581,29,184,0.000,244.706
34,5736.897,186.118,54,252,11.041,486.769
35,4243.267,207.872,57,251,70.974,357.454
36,8656.264,170.408,34,248,77.276,740.655
37,4446.944,93.664,26,224,38.660,373.067
38,6891.065,61.084,17,195,-26.565,521.123
39,4480.890,66.508,22,214,131.269,379.830
40,6585.550,110.119,61,251,83.395,557.200
41,3055.152,233.444,109,255,-62.850,255.364
42,4379.051,157.961,84,249,71.565,331.641
43,2987.260,118.295,51,250,40.314,252.153
44,3360.667,103.071,55,253,56.310,294.100
45,3801.967,99.062,42,231,50.856,323.033
46,2783.583,154.805,43,233,-37.999,236.595
47,5567.166,99.646,18,187,-108.435,423.763
48,2444.122,190.917,75,235,79.695,195.421
49,2104.660,173.597,47,249,-48.991,177.584
50,2444.122,153.958,44,228,-79.695,195.421
51,1561.522,135.957,47,195,50.194,136.515
52,3869.859,73.930,31,139,90.000,326.275
53,1697.307,187.000,53,251,-40.101,144.723
54,2647.799,99.115,40,186,49.236,223.081
55,5635.058,102.114,35,233,-28.780,471.969
56,4956.136,106.048,18,247,-90.000,419.496
57,6381.873,118.585,37,244,-44.132,543.881
58,3768.021,126.171,29,226,51.009,314.838
59,3598.290,69.557,29,119,33.389,307.032
60,6178.197,176.643,62,255,-3.857,519.721
61,4514.836,215.421,77,255,59.036,407.677
62,8486.534,185.352,80,254,-120.489,723.451
63,3258.829,138.875,26,209,52.651,278.508
64,4480.890,100.318,21,198,71.847,374.021
65,1765.199,181.673,65,251,-78.232,142.834
66,2342.283,118.638,44,233,-78.690,178.251
67,3462.506,126.343,59,253,72.300,287.445
68,2308.337,106.015,46,224,34.160,197.151
69,1425.738,107.310,45,244,90.000,116.527
70,2410.176,200.225,86,255,-29.745,187.894
71,3055.152,140.500,36,252,-101.821,255.961
72,2274.391,114.075,43,218,-32.735,193.939
73,2647.799,186.885,53,236,6.170,216.830
74,2070.714,121.492,59,219,12.095,166.841
75,3190.937,126.691,61,253,-127.117,270.344
76,3564.344,126.352,62,251,-97.125,281.840
77,2953.314,166.299,61,254,-84.289,234.216
78,5397.436,158.176,63,238,54.293,459.210
79,4141.429,209.582,112,255,-27.848,349.240
80,3496.452,176.049,115,251,48.180,297.086
81,3598.290,199.934,103,255,-72.979,298.567
82,6857.119,186.099,88,255,-23.728,579.156
83,3055.152,196.789,77,255,-7.943,252.959
84,4684.567,94.435,42,247,81.870,370.785
85,3530.398,143.317,49,220,123.996,302.184
86,3462.506,136.431,51,253,-39.369,293.927
87,2376.229,177.214,76,250,71.030,197.151
88,4548.782,165.925,84,254,-67.380,378.712
89,4616.674,185.478,81,254,-125.838,388.097
90,2851.475,123.690,58,186,40.156,243.942
91,4684.567,135.920,10,226,-90.000,396.191
92,3666.183,161.315,101,253,-54.211,308.851
93,4684.567,110.797,59,247,-69.944,390.755
94,4820.351,110.789,67,254,-48.434,412.725
95,3055.152,141.611,68,252,-66.975,253.228
96,3258.829,224.948,106,255,39.036,277.532
97,1934.930,169.825,86,251,-75.964,144.135
98,1968.876,207.052,92,254,-90.000,163.137
99,2308.337,180.382,86,254,9.462,177.201
100,766.261,67.189,17,170,28.061,141.450
101,773.164,138.500,23,190,-101.725,142.220
102,1366.844,109.000,31,196,-36.754,259.063
103,642.002,130.065,37,198,-2.603,115.725
104,1228.779,64.590,46,106,-23.629,229.428
105,331.356,69.896,23,191,-33.024,62.673
106,428.002,80.226,32,151,-22.166,76.601
107,814.584,136.449,31,205,-59.534,155.462
